osu file format v128

[General]
AudioFilename: audio.wav
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1
BeatDivisor: 4
GridSize: 4
TimelineZoom: 1.2279999256134033

[Metadata]
Title: Bouncerried
TitleUnicode: Bouncerried
Artist: 
Creator: Guest
Version: New Difficulty

[Difficulty]
HPDrainRate: 5
CircleSize: 5
OverallDifficulty: 5
ApproachRate: 10
SliderMultiplier: 1.3999999687075613
SliderTickRate: 1

[Events]
2,52477,56113

[TimingPoints]
1706,428.57142857142856,4,1,0,100,1,0

[Colours]
Combo1: 255,192,0,255
Combo2: 0,202,0,255
Combo3: 18,124,255,255
Combo4: 242,24,57,255

[HitObjects]
184,192,1706,5,2,1:0:0:0:
168,112,2348,1,2,1:0:0:0:
208,72,2563,1,2,1:0:0:0:
328,116,2884,1,2,1:0:0:0:
356,224,3206,1,2,1:0:0:0:
384,124,3634,1,2,1:0:0:0:
380,92,3741,1,2,1:0:0:0:
368,56,3848,1,2,1:0:0:0:
248,52,4063,1,2,1:0:0:0:
140,80,4277,1,2,1:0:0:0:
104,164,4598,1,2,1:0:0:0:
128,256,4920,1,2,1:0:0:0:
304,192,5134,1,2,1:0:0:0:
320,112,5777,1,2,1:0:0:0:
280,72,5991,1,2,1:0:0:0:
160,116,6313,1,2,1:0:0:0:
132,224,6634,1,2,1:0:0:0:
104,124,7063,1,2,1:0:0:0:
108,92,7170,1,2,1:0:0:0:
120,56,7277,1,2,1:0:0:0:
240,52,7491,1,2,1:0:0:0:
348,80,7705,1,2,1:0:0:0:
384,164,8027,1,2,1:0:0:0:
360,256,8348,1,2,1:0:0:0:
298,284,8563,1,0,1:0:0:0:
153,250,8991,1,0,1:0:0:0:
137,230,9098,1,0,1:0:0:0:
334,238,9313,1,0,1:0:0:0:
192,221,9527,1,0,1:0:0:0:
145,201,9634,1,0,1:0:0:0:
344,233,9848,1,0,1:0:0:0:
352,86,10277,1,0,1:0:0:0:
274,53,10491,1,0,1:0:0:0:
203,49,10706,1,0,1:0:0:0:
157,93,10920,1,0,1:0:0:0:
148,169,11134,1,0,1:0:0:0:
158,249,11348,1,0,1:0:0:0:
214,293,11563,1,0,1:0:0:0:
251,298,11670,1,0,1:0:0:0:
218,305,11777,1,0,1:0:0:0:
298,284,11991,1,0,1:0:0:0:
153,250,12420,1,0,1:0:0:0:
137,230,12527,1,0,1:0:0:0:
334,238,12741,1,0,1:0:0:0:
192,221,12956,1,0,1:0:0:0:
145,201,13063,1,0,1:0:0:0:
344,233,13277,1,0,1:0:0:0:
343,123,13706,1,0,1:0:0:0:
258,224,13920,1,2,1:0:0:0:
226,245,14027,1,2,1:0:0:0:
191,263,14134,1,2,1:0:0:0:
345,172,14348,1,2,1:0:0:0:
377,193,14456,1,2,1:0:0:0:
412,211,14563,1,2,1:0:0:0:
204,100,14777,1,2,1:0:0:0:
172,121,14884,1,2,1:0:0:0:
138,139,14991,1,2,1:0:0:0:
319,92,15206,1,2,1:0:0:0:
371,79,15420,1,0,1:0:0:0:
387,133,15634,1,0,1:0:0:0:
392,193,15848,1,0,1:0:0:0:
395,241,16063,1,0,1:0:0:0:
314,312,16277,1,0,1:0:0:0:
188,275,16598,1,0,1:0:0:0:
256,304,16920,1,0,1:0:0:0:
256,304,17027,1,2,1:0:0:0:
256,304,17134,1,2,1:0:0:0:
256,191,17348,1,0,1:0:0:0:
256,191,17456,1,0,1:0:0:0:
256,191,17563,1,0,1:0:0:0:
138,191,17777,1,0,1:0:0:0:
179,112,17991,1,0,1:0:0:0:
253,299,18420,1,2,1:0:0:0:
274,132,18848,1,0,1:0:0:0:
188,104,19063,1,2,1:0:0:0:
137,121,19170,1,2,1:0:0:0:
113,171,19277,1,2,1:0:0:0:
135,267,19491,1,0,1:0:0:0:
196,126,19706,1,0,1:0:0:0:
287,67,19920,1,0,1:0:0:0:
314,73,20027,1,0,1:0:0:0:
400,81,20241,1,0,1:0:0:0:
409,103,20348,1,0,1:0:0:0:
383,202,20563,1,2,1:0:0:0:
333,251,20777,1,0,1:0:0:0:
256,278,20991,1,0,1:0:0:0:
178,258,21206,1,0,1:0:0:0:
120,194,21420,1,0,1:0:0:0:
185,86,21634,1,2,1:0:0:0:
232,77,21741,1,2,1:0:0:0:
270,71,21848,1,2,1:0:0:0:
255,188,22063,1,0,1:0:0:0:
